0,12027,29444,10494,-32257,28414,-4354
1,12027,29444,10494,-32257,28414,-4354
2,12027,29444,10494,-32257,28414,-4354
3,13563,26884,3326,8704,11262,-19714
4,13563,26884,3326,8704,11262,-19714
5,14843,28676,2302,-5633,11774,9214
6,14843,28676,2302,-5633,11774,9214
7,9979,27908,-1539,10496,1790,17150
8,9979,27908,-1539,10496,1790,17150
9,9979,27908,-1539,10496,1790,17150
10,8187,20996,-3331,1280,255,14079
11,8187,20996,-3331,1280,255,14079
12,12539,19972,-771,4607,27135,-32001
13,12539,19972,-771,4607,27135,-32001
14,12539,19972,-771,4607,27135,-32001
15,12539,25604,3838,-6147,11776,17150
16,12539,25604,3838,-6147,11776,17150
17,15867,30724,5630,-6147,8704,18942
18,15867,30724,5630,-6147,8704,18942
19,13819,29444,5630,-29698,30975,-13826
20,13819,29444,5630,-29698,30975,-13826
21,13819,29444,5630,-29698,30975,-13826
22,15611,27140,9214,-9218,-25601,20223
23,15611,27140,9214,-9218,-25601,20223
24,14075,30468,3326,30463,-514,-6913
25,14075,30468,3326,30463,-514,-6913
26,10747,23044,-3,-17153,-24578,26880
27,10747,23044,-3,-17153,-24578,26880
28,10747,23044,-3,-17153,-24578,26880
29,4091,13828,1534,1279,10751,-23297
30,4091,13828,1534,1279,10751,-23297
31,-3334,5892,8958,-20227,-14592,32254
32,-3334,5892,8958,-20227,-14592,32254
33,251,13316,22526,13564,24322,-2306
34,251,13316,22526,13564,24322,-2306
35,251,13316,22526,13564,24322,-2306
36,6651,1540,29694,-30980,-26877,-1536
37,6651,1540,29694,-30980,-26877,-1536
38,-15366,7172,-5123,16127,14853,18176
39,-15366,7172,-5123,16127,14853,18176
40,-32262,-23548,-11524,-19712,18950,19201
41,-32262,-23548,-11524,-19712,18950,19201
42,-32262,-23548,-11524,-19712,18950,19201
43,-1797,14597,-5125,29445,9221,-16631
44,-1797,14597,-5125,29445,9221,-16631
45,24574,21766,30715,18958,2811,-15337
46,24574,21766,30715,18958,2811,-15337
47,-27391,-6137,6907,-21219,-24086,24099
48,-27391,-6137,6907,-21219,-24086,24099
49,-27391,-6137,6907,-21219,-24086,24099
50,-18941,-6391,28923,28719,2773,-3300
51,-18941,-6391,28923,28719,2773,-3300
52,-21246,-24821,23803,-28607,-31561,19718
53,-21246,-24821,23803,-28607,-31561,19718
54,769,10764,-22789,13650,28822,-18944
55,769,10764,-22789,13650,28822,-18944
56,-16129,-30963,23804,-24737,-24703,16130
57,-16129,-30963,23804,-24737,-24703,16130
58,-16129,-30963,23804,-24737,-24703,16130
59,-17154,23312,-13059,-16286,128,10496
60,-17154,23312,-13059,-16286,128,10496
61,18942,27156,7680,31336,128,11005
62,18942,27156,7680,31336,128,11005
63,20989,18456,16641,-129,-10621,-15114
64,20989,18456,16641,-129,-10621,-15114
65,20989,18456,16641,-129,-10621,-15114
66,12795,-4839,-22785,-129,128,6656
67,12795,-4839,-22785,-129,128,6656
68,-17160,19481,-15364,-129,128,-747
69,-17160,19481,-15364,-129,128,-747
70,-2315,25880,18938,-129,128,-5082
71,-2315,25880,18938,-129,128,-5082
72,-2315,25880,18938,-129,128,-5082
73,32499,-20969,761,-129,-14195,-6354
74,32499,-20969,761,-129,-14195,-6354
75,9202,-21225,2297,-129,-11854,5430
76,9202,-21225,2297,-129,-11854,5430
77,9202,-21225,2297,-129,-11854,5430
78,-273,-746,30200,-129,31180,-28867
79,-273,-746,30200,-129,31180,-28867
80,-12819,-2029,-12042,-129,-10017,-5043
81,-12819,-2029,-12042,-129,-10017,-5043
82,-22549,4880,1525,-129,8696,-420
83,-22549,4880,1525,-129,8696,-420
84,-22549,4880,1525,-129,8696,-420
85,21739,19213,-22796,-129,30230,-13972
86,21739,19213,-22796,-129,30230,-13972
87,-30485,-21493,19444,-129,-20176,-18563
88,-30485,-21493,19444,-129,-20176,-18563
89,-20244,13578,21236,-129,23367,-129
90,-20244,13578,21236,-129,23367,-129
91,-20244,13578,21236,-129,23367,-129
92,7405,-19191,-1805,-129,16207,-129
93,7405,-19191,-1805,-129,16207,-129
94,-30995,521,30450,-129,26693,-129
95,-30995,521,30450,-129,26693,-129
96,-3858,-8441,18929,-129,-7365,-129
