0,24062,32764,31750,-7938,13055,25086
1,25598,25340,32006,-9730,14591,16382
2,24318,30204,-30714,-4866,7423,27390
3,28670,28668,30214,-11522,8703,21758
4,23806,26876,32006,-8450,15871,17150
5,23806,-32516,30726,-5634,13823,22270
6,24318,28156,-29178,-15362,7679,17150
7,26622,27132,-30970,-6402,13055,22526
8,27134,31484,-32762,-12546,16895,28158
9,25854,26108,30982,-14594,13311,17918
10,23806,29436,30470,-4354,13311,24574
11,24574,29180,-32506,-17666,6143,13054
12,24830,28412,31238,-9218,13311,25086
13,25854,31740,32006,-7938,11519,18174
14,24062,27900,-29434,-16642,13311,20478
15,22270,30716,32518,-5378,15103,-32002
16,20990,30460,-31226,-11010,10751,21758
17,21246,25596,-30202,-10242,14335,20990
18,23806,29692,31494,-3586,12287,26110
19,25598,29436,-31994,-14082,10751,13054
20,23294,28668,-32506,-770,16639,25854
21,19454,31228,30470,-5634,14079,20734
22,23806,26364,30982,-9218,14079,18174
23,23806,27132,30982,-3586,11775,26366
24,20222,31740,32262,-13314,18687,15614
25,25086,26620,-29946,-10242,15359,22526
26,25342,31484,-32250,-8194,12543,-31234
27,24318,27644,-31226,-11778,13823,21246
28,24574,26108,31494,-2562,9983,27134
29,19966,29948,30470,-8194,12543,23294
